index	alt	CO	O	CO2	O2
169	115.18	882833607.7233334	980968397.8550725	178786014561.32773	194053923.12
170	115.19999999999914	880142678.38	978233199.4608696	178116776725.3825	192813429.70797297
171	115.29999999999912	872069890.35	970027604.278261	176109063217.54688	191572936.29594597
172	115.39999999999912	863997102.32	961822009.0956523	174101349709.71124	190332442.8839189
173	115.49999999999912	855924314.2900001	953616413.9130435	172093636201.87564	189091949.47189188
174	115.51	851887920.2750001	949513616.3217393	170085922694.04	187851456.05986488
175	115.59999999999913	847851526.26	945410818.7304348	168628662463.53564	186610962.64783785
176	115.69999999999912	839778738.23	937205223.5478259	167171402233.03125	185370469.2358108
177	115.79999999999909	831705950.2	928999628.3652173	165714142002.5269	184129975.82378381
178	115.89999999999908	823633162.1700001	920794033.1826088	164256881772.02252	182889482.41175675
179	115.97	819596768.155	912588438.0	162799621541.51813	181648988.9997297
180	115.99999999999909	815560374.14	908333065.7571641	161342361311.01376	180408495.5877027
181	116.09999999999908	807487586.11	904077693.5143284	159885101080.50934	179168002.1756757
182	116.19999999999908	799414798.08	899822321.2714926	158427840850.005	177927508.76364866
183	116.29999999999909	791342010.0500001	895566949.0286568	156970580619.50064	176687015.35162163
184	116.39999999999908	783269222.02	891311576.7858207	155513320388.99625	175446521.9395946
185	116.49999999999906	775196433.99	887056204.5429852	154056060158.49188	174206028.52756757
186	116.59999999999907	767123645.96	882800832.3001492	152598799927.9875	172965535.11554053
187	116.69999999999905	759050857.9300001	878545460.0573133	151141539697.48312	171725041.7035135
188	116.79999999999905	750978069.9000001	874290087.8144777	149684279466.97876	170484548.2914865
189	116.89999999999904	742905281.87	870034715.5716418	148227019236.47437	169244054.87945947
190	116.99999999999905	734832493.84	865779343.3288058	146769759005.97	168003561.46743244
191	117.09999999999904	726759705.8100001	861523971.0859702	145312498775.46564	166763068.0554054
192	117.19999999999901	718686917.78	857268598.8431343	143855238544.96124	165522574.64337838
193	117.299999999999	710614129.75	853013226.6002985	142397978314.45688	164282081.23135135
194	117.39999999999901	702541341.72	848757854.3574626	140940718083.9525	163041587.8193243
195	117.499999999999	694468553.69	844502482.1146269	139483457853.44812	161801094.4072973
196	117.59999999999901	686395765.6600001	840247109.871791	138026197622.94376	160560600.99527028
197	117.69999999999901	678322977.6300001	835991737.6289552	136568937392.43938	159320107.58324325
198	117.799999999999	670250189.6	831736365.3861194	135111677161.935	158079614.17121622
199	117.82	662177401.57	827480993.1432836	133654416931.43062	156839120.7591892
200	117.89999999999898	658445114.1767925	823225620.9004477	132197156700.92625	155598627.34716216
201	117.99999999999899	654712826.783585	818970248.657612	130739896470.42188	154358133.93513513
202	118.09999999999896	650980539.3903774	814714876.4147762	129282636239.9175	153117640.52310812
203	118.19999999999895	647248251.99717	810459504.1719402	127825376009.41313	151877147.11108106
204	118.29999999999895	643515964.6039622	806204131.9291044	126368115778.90875	150636653.69905406
205	118.39999999999895	639783677.2107548	801948759.6862688	124910855548.40434	149396160.28702703
206	118.48	637917533.514151	799821073.5648508	123453595317.9	148155666.875
207	118.49999999999895	636051389.8175473	797693387.4434327	122395907411.71812	146915173.46297297
208	118.59999999999893	632319102.4243398	793438015.2005969	121338219505.53625	145674680.05094594
209	118.69999999999894	628586815.0311321	789182642.9577613	120280531599.35435	144434186.6389189
210	118.79999999999892	624854527.6379246	784927270.7149254	119222843693.1725	143193693.22689188
211	118.89999999999891	621122240.244717	780671898.4720894	118165155786.99063	141953199.81486487
212	118.9999999999989	617389952.8515095	776416526.2292538	117107467880.80875	140712706.40283784
213	119.09999999999891	613657665.4583019	772161153.9864179	116049779974.62688	139472212.99081078
214	119.19999999999891	609925378.0650944	767905781.7435821	114992092068.445	138231719.57878378
215	119.29999999999892	606193090.6718867	763650409.5007463	113934404162.26312	136991226.16675675
216	119.39999999999891	602460803.2786793	759395037.2579105	112876716256.08125	135750732.75472972
217	119.49999999999888	598728515.8854718	755139665.0150746	111819028349.89937	134510239.34270272
218	119.59999999999887	594996228.4922643	750884292.7722389	110761340443.7175	133269745.93067569
219	119.69999999999888	591263941.0990566	746628920.529403	109703652537.5356	132029252.51864864
220	119.79999999999887	587531653.705849	742373548.2865673	108645964631.35374	130788759.10662162
221	119.89999999999887	583799366.3126415	738118176.0437312	107588276725.17188	129548265.6945946
222	119.99999999999885	580067078.919434	733862803.8008956	106530588818.99	128307772.28256756
223	120.09999999999886	576334791.5262265	729607431.5580598	105472900912.80812	127067278.87054051
224	120.19999999999884	572602504.1330191	725352059.3152238	104415213006.62624	125826785.45851351
225	120.29999999999883	568870216.7398113	721096687.0723879	103357525100.44437	124586292.04648648
226	120.39999999999884	565137929.3466039	716841314.8295523	102299837194.2625	123345798.63445944
227	120.49999999999883	561405641.9533963	712585942.5867164	101242149288.08064	122105305.22243242
228	120.59999999999884	557673354.5601888	708330570.3438808	100184461381.89874	120864811.81040539
229	120.69999999999882	553941067.1669811	704075198.1010448	99126773475.71687	119624318.39837836
230	120.79999999999882	550208779.7737738	699819825.8582089	98069085569.535	118383824.98635134
231	120.8999999999988	546476492.3805661	695564453.6153731	97011397663.35312	117143331.57432432
232	120.99999999999879	542744204.9873586	691309081.3725374	95953709757.17123	115902838.1622973
233	121.0999999999988	539011917.594151	687053709.1297015	94896021850.98938	114662344.75027026
234	121.1999999999988	535279630.20094335	682798336.8868656	93838333944.8075	113421851.33824325
235	121.2999999999988	531547342.8077359	678542964.6440299	92780646038.62564	112181357.9262162
236	121.39999999999878	527815055.4145284	674287592.4011941	91722958132.44376	110940864.51418918
237	121.49999999999878	524082768.0213208	670032220.1583582	90665270226.26187	109700371.10216217
238	121.5	522216624.324717	667904534.0369402	89607582320.08	108459877.69013512
239	121.59999999999876	520350480.62811327	665776847.9155222	88839817076.1847	107219384.27810809
240	121.69999999999877	516618193.23490566	661521475.6726866	88072051832.28937	105978890.86608107
241	121.79999999999876	512885905.84169817	657266103.4298508	87304286588.39406	104738397.45405404
242	121.89999999999876	509153618.4484906	653010731.1870148	86536521344.49875	103497904.042027
243	121.96	507287474.7518869	650883045.0655969	86152638722.55109	102257410.63
244	121.99999999999876	505421331.0552831	648755358.944179	85768756100.60344	101556828.326
245	122.09999999999874	501689043.66207546	644499986.7013433	85000990856.70813	100856246.02200001
246	122.19999999999874	497956756.268868	640244614.4585075	84233225612.81282	100155663.718
